id	en	jp	cn	tw	ko	gr	es	fr	it
CNAME_ND_BAD_MAN	Stubborn Combatant	往生際の悪い戦闘員	不死心的战斗员	死不認輸的戰鬥員	구차한 전투원	Sturer Kämpfer	Combatiente tozudo	Combattant farouche	Combattente testardo
CNAME_ND_POLITE_MAN	Kneeling Combatant	かしずく戦闘員	恭敬的战斗员	負責輔助的戰鬥員	시중드는 전투원	Kniender Kämpfer	Combatiente arrodillado	Combattant à genou	Combattente in ginocchio
CNAME_ND_SUPRISED_WOMAN	Surprised Girlfriend	驚いている彼女	吃惊的女朋友	驚訝的情侶女	놀란 여자친구	Überraschter Freund	Novio sorprendido	Petit-ami surpris	Fidanzato sorpreso
CNAME_ND_SUPRISED_MAN	Surprised Boyfriend	驚いている彼氏	吃惊的男朋友	驚訝的情侶男	놀란 남자친구	Überraschte Freundin	Novia sorprendida	Petite-amie surprise	Fidanzata sorpresa
CNAME_ND_FRIGHTENED_WOMAN	Frightened Woman	怯えている女	心惊胆战的女性	感到畏懼的女性	떨고 있는 여자	Verängstigte Frau	Mujer asustada	Femme effrayée	Donna spaventata
CNAME_ND_CHEERING_MAN	Cheering Man	喝采を送る男	欢呼的男性	喝采的男性	갈채를 보내는 남자	Jubelnder Mann	Hombre alentador	Homme encourageant	Uomo incoraggiante
CNAME_ND_VULGAR_DEMON	Vulgar Demon	品のない悪魔	粗俗的恶魔	野蠻的惡魔	볼품없는 악마	Vulgärer Dämon	Demonio vulgar	Démon vulgaire	Demone volgare
CNAME_ND_MURDEROUS_MAN	Menacing Man	殺気立つ男	杀气腾腾的男性	散發殺氣的男性	살기를 풍기는 남자	Bedrohlicher Mann	Hombre amenazante	Homme menaçant	Uomo minaccioso
CNAME_ND_TEARS_MAN	Teary-eyed Man	涙ぐむ男	含泪的男性	淚眼汪汪的男性	글썽거리는 남자	Dem Weinen naher Mann	Hombre compungido	Homme en pleurs	Uomo in lacrime
CNAME_ND_ICHIKA	Ichika	イチカ	一花	一花	이치카	Ichika	Ichika	Ichika	Ichika
CNAME_ND_ICHIKA_1	Girl with Picture Book	絵本を持った少女	拿着图画书的少女	手持繪本的少女	그림책을 가진 소녀	Mädchen mit Bilderbuch	Niña con álbum de fotos	Fille au livre d'images	Bambina con libro illustrato
CNAME_ND_FASHIONABLE_CHILD	Stylish Girl	おしゃれな少女	打扮精致的少女	時髦的少女	멋쟁이 소녀	Modisches Mädchen	Niña moderna	Fille coquette	Bambina elegante
CNAME_ND_CHEEKY_CHILD	Cheeky Boy	生意気そうな少年	看似嚣张的少年	囂張的少年	건방져 보이는 소년	Frecher Junge	Niño descarado	Garçon farceur	Bambino sfacciato
CNAME_ND_SMILING_CHILD	Smiling Girl	笑顔の少女	微笑的少女	笑容滿面的少女	미소 짓는 소녀	Lächelndes Mädchen	Niña sonriente	Fille souriante	Bambina sorridente
CNAME_ND_LAUGHING_DEMON	Laughing Demon	笑う悪魔	面带笑容的恶魔	大笑的惡魔	웃고 있는 악마	Lachender Dämon	Demonio que ríe	Démon ricaneur	Demone ridente
CNAME_ND_CURSED_CHILD	Demon-possessed Boy	悪魔憑きの少年	被恶魔附身的少年	惡魔纏身的少年	악마에 씐 소년	Besessener Junge	Niño poseído	Garçon possédé	Bambino posseduto da un demone
CNAME_ND_RIFLE_MAN	Man with Rifle	ライフルを持つ男	拿着步枪的男性	手持步槍的男性	라이플을 든 남자	Mann mit Gewehr	Hombre con rifle	Homme armé	Uomo con il fucile
CNAME_ND_SWORD_WOMAN	Woman with Sword	剣を構える女	持剑戒备的女性	舉劍的女性	검을 든 여자	Frau mit Schwert	Mujer con espada	Femme à épée	Donna con la spada
CNAME_ND_HOZUMI	Hozumi	ホヅミ	穗积	Hozumi	호즈미	Hozumi	Hozumi	Hozumi	Hozumi
CNAME_ND_HOZUMI_1	Smirking Man	ニヤニヤ笑いの男	笑容阴险的男性	奸笑的男性	히죽히죽 웃는 남자	Grinsender Mann	Hombre socarrón	Homme au sourire narquois	Uomo compiaciuto
CNAME_ND_AZAZEL	Azazel	アザゼル	阿萨谢尔	阿薩謝勒	아자젤	Azazel	Azazel	Azazel	Azazel
CNAME_ND_AZAZEL_1	Tall Demon	長身の悪魔	高个子恶魔	身形高大的惡魔	장신의 악마	Großer Dämon	Demonio alto	Démon immense	Demone alto
CNAME_ND_CYBER_AION	Cyber Aion	電霊Aion	电灵Aion	電靈Aion	전령 Aion	Cyber-Aion	Cíber Aion	Cyber Aion	Cyber Aion
CNAME_ND_GENTLEMAN	Galahad	ガラハッド	加拉哈德	加拉哈德	갤러해드	Galahad	Galahad	Galaad	Galahad
CNAME_ND_SERIOUS_GIRL	Earnest Girl	真面目そうな少女	一脸认真的少女	正經八百的少女	성실해 보이는 소녀	Ernstes Mädchen	Chica formal	Fille impatiente	Ragazza seria
CNAME_ND_SUMMONER_LEADER	Brodie	ブロディ	布洛迪	布洛狄	브로디	Brodie	Brodie	Brodie	Brodie
CNAME_ND_PROTO_ZENON	Zenon Type 0	ゼノン0型	芝诺0型	Zenon 0型	제논 0형	Zenon Typ 0	Zenon tipo 0	Zenon Type 0	Zenon tipo 0
CNAME_ND_PROTO_ZENON_1	Zenon-like Demon	ゼノンに似た悪魔	很像芝诺的恶魔	與Zenon相似的惡魔	제논을 닮은 악마	Zenon-ähnlicher Dämon	Demonio similar a Zenon	Démon type Zenon	Demone simile a Zenon
CNAME_ND_LOSTNUMBER_LADY	Female Lost Number	女性型ロストナンバー	女性型失落的编号	女性人型Lost Number	여성형 로스트 넘버	Verlorene Zahl, Weiblich	Mujer perdida	Femme des Chiffres Perdus	Numero perduto femmina
CNAME_ND_LOSTNUMBER_KNIGHT	Knight Lost Number	騎士型ロストナンバー	骑士型失落的编号	騎士型Lost Number	기사형 로스트 넘버	Verlorene Zahl, Ritter	Caballero perdido	Homme des Chiffres Perdus	Numero perduto cavaliere
CNAME_ND_LOSTNUMBER_SAMURAI	Samurai Lost Number	武士型ロストナンバー	武士型失落的编号	武士型Lost Number	무사형 로스트 넘버	Verlorene Zahl, Samurai	Samurái perdido	Samouraï des Chiffres Perdus	Numero perduto samurai
CNAME_ND_GOAT_DEMON	Goat-headed Demon	山羊の頭の悪魔	山羊头恶魔	擁有山羊頭的惡魔	산양 머리의 악마	Dämon mit Ziegenkopf	Demonio cabra	Démon à tête de chèvre	Demone dalla testa di capra
CNAME_ND_GOAT_DEMON_1	Calm Voice	穏やかな声	沉稳的声音	柔和的聲音	온화한 목소리	Ruhige Stimme	Voz serena	Voix calme	Voce calma
CNAME_ND_SMART_DEMON	Unctuous Demon	調子のいい悪魔	神气活现的恶魔	輕浮的惡魔	기세등등한 악마	Salbungsvoller Dämon	Demonio adulador	Démon mielleux	Demone servile
CNAME_ND_FUYUHIKO	Fuyuhiko	フユヒコ	冬彦	冬彥	후유히코	Fuyuhiko	Fuyuhiko	Fuyuhiko	Fuyuhiko
CNAME_ND_FUYUHIKO_1	Hooded Man	フードの男	戴着兜帽的男性	戴著兜帽的男性	후드를 쓴 남자	Vermummter Mann	Encapuchado	Homme encapuchonné	Uomo incappucciato
CNAME_ND_NATSUKI	Natsuki	ナツキ	夏树	夏樹	나츠키	Natsuki	Natsuki	Natsuki	Natsuki
CNAME_ND_NATSUKI_1	Hooded Man	フードの男	戴着兜帽的男性	戴著兜帽的男性	후드를 쓴 남자	Vermummter Mann	Encapuchado	Homme encapuchonné	Uomo incappucciato
CNAME_ND_SYOGETSU	Shogetsu	ショウゲツ	笑月	笑月	쇼게츠	Shogetsu	Shogetsu	Shogetsu	Shogetsu
CNAME_ND_SYOGETSU_1	Man in Coat	コートの男	穿着外套的男性	身穿大衣的男性	코트를 입은 남자	Mann mit Mantel	Hombre con abrigo	Homme en manteau	Uomo col cappotto
CNAME_ND_ELEPHANT_DEMON	Elephant-headed Demon	象の頭の悪魔	象头恶魔	擁有象頭的惡魔	코끼리 머리의 악마	Dämon mit Elefantenkopf	Demonio elefante	Démon à tête d'éléphant	Demone dalla testa di elefante
CNAME_ND_SHIVA	Shiva	シヴァ	湿婆	濕婆	시바	Shiva	Shiva	Shiva	Shiva
CNAME_ND_PARVATI	Parvati	パールヴァティ	帕尔瓦蒂	帕爾瓦蒂	파르바티	Parvati	Parvati	Parvati	Parvati
CNAME_ND_ARDHA	Ardha	アルダー	阿尔达	阿爾達	아르다	Ardha	Ardha	Ardha	Ardha
CNAME_NS_ER38_ORDER_1	Restless Man	落ち着きのない男	浮躁的男性	靜不下來的男性	경박한 남자	Ruheloser Mann	Hombre inquieto	Homme agité	Uomo irrequieto
CNAME_NS_ER38_ORDER	Teruya	テルヤ	辉也	輝也	테루야	Teruya	Teruya	Teruya	Teruya
CNAME_NS_ER38_TARGET_1	Sharp-eyed Woman	目つきの鋭い女	眼神锐利的女性	眼神凶惡的女性	예리한 눈빛의 여자	Frau mit scharfem Blick	Mujer aguda	Femme aux yeux perçants	Donna dallo sguardo astuto
CNAME_NS_ER38_TARGET	Chris	クリス	克丽丝	克莉絲	크리스	Chris	Chris	Chris	Chris
CNAME_NS_ER33_SAKI	Saki	サキ	早纪	早紀	사키	Saki	Saki	Saki	Saki
CNAME_NS_ER33_SAKI_1	Gloomy Woman	鬱陶しげな女	不耐烦的女性	鬱鬱寡歡的女性	우울해 보이는 여자	Bedrückte Frau	Mujer sombría	Femme sinistre	Donna cupa
CNAME_NS_ER33_LOCK	Rock	ロック	洛克	洛克	록	Rocko	Rock	Rock	Rock
CNAME_NS_ER33_LOCK_1	Cautious Man	警戒している男	充满戒备的男性	有所戒備的男性	경계하고 있는 남자	Vorsichtiger Mann	Hombre cauto	Homme prudent	Uomo cauto
CNAME_NS_ER07_ONMORAKI	Onmoraki	オンモラキ	阴摩罗鬼	陰魔羅鬼	온모라키	Onmoraki	Onmoraki	Onmoraki	Onmoraki
CNAME_NS_ER07_ONMORAKI_1	Human-faced Bird Demon	人面鳥の悪魔	人面鸟的恶魔	擁有人臉的鳥類惡魔	인면조 악마	Vogeldämon mit Menschengesicht	Pollo con cara humana	Volaille à tête humaine	Demone-uccello con la faccia umana
CNAME_NS_ER26_FROST1	Frost Ichiro	フロイチロ	霜一郎	霜一郎	프로이치로	Frost Ichiro	Frost Ichiro	Frost Ichiro	Frost Ichiro
CNAME_NS_ER26_FROST1_1	Snowman-like Demon	雪だるまのような悪魔	长得像雪人的恶魔	宛如雪人的惡魔	눈사람 형상의 악마	Schneemannhafter Dämon	Demonio muñeco de nieve	Démon bonhomme de neige	Demone simile a un pupazzo di neve
CNAME_NS_ER01_MASAYOSHI	Masayoshi	マサヨシ	雅义	雅義	마사요시	Masayoshi	Masayoshi	Masayoshi	Masayoshi
CNAME_NS_ER01_MASAYOSHI_1	Tired Man	疲れた様子の男	看似很累的男性	展露疲態的男性	지친 안색의 남자	Müder Mann	Hombre cansado	Homme fatigué	Uomo stanco
CNAME_NS_ER01_MADGASSER	Mad Gasser	マッドガッサー	疯狂毒气怪人	毒氣怪客	매드가서	Gasteufel	Gasero loco	Gazeur fou	Anestesista folle
CNAME_NS_ER01_MADGASSER_1	Black-clad Demon	漆黒の悪魔	漆黑的恶魔	漆黑的惡魔	칠흑의 악마	Schwarz gekleideter Dämon	Demonio de negro	Démon tout en noir	Demone vestito di nero
CNAME_NS_ER01_HORROR_F	Scary Story Lover	怪談好きな女	喜好怪谈的女性	喜歡怪談的女性	괴담을 좋아하는 여자	Frau, die Spukgeschichten mag	Aficionada al terror	Femme aimant les histoires d'horreur	Donna che ama le storie di fantasmi
CNAME_NS_ER01_INFO_F	Well-informed Woman	情報通の女	消息灵通的女性	消息靈通的女性	정보통 여자	Gut informierte Frau	Mujer informada	Femme bien informée	Donna ben informata
CNAME_NS_ER36_WYATT	Wyatt	ワイアット	怀亚特	懷亞特	와이엇	Wyatt	Wyatt	Wyatt	Wyatt
CNAME_NS_ER36_WYATT_1	Exhausted Summoner	くたびれたサマナー	十分憔悴的召唤师	疲憊的召喚師	지친 서머너	Erschöpfter Beschwörer	Invocador agotado	Invocateur épuisé	Evocatore esausto
CNAME_NS_ER10_ANGRY_F	Pompous Woman	偉そうな女	嚣张的女性	高傲的女性	거만한 여자	Pompöse Frau	Mujer ostentosa	Femme prétentieuse	Donna boriosa
CNAME_NS_ER04_DRUNK_M	Buzzed Man	ほろ酔いの男	微醺的男性	微醺的男性	만취한 남자	Aufgedrehter Mann	Borracho	Homme éméché	Uomo brillo
CNAME_NS_ER04_SADMAN	Sad Man	悲しげな男	悲伤的男性	哀傷的男性	슬퍼 보이는 남자	Trauriger Mann	Hombre triste	Homme triste	Uomo triste
CNAME_NS_ER11_FRUSTRATED_M	Sullen Man	不機嫌そうな男	看似心情很差的男性	不悅的男性	언짢아 보이는 남자	Mürrischer Mann	Hombre hosco	Homme renfrogné	Uomo imbronciato
CNAME_NS_ER13_SMILING_M	Smirking Man	うすら笑いの男	露出讥笑的男性	譏笑的男性	히죽거리는 남자	Dünner lächelnder Mann	Hombre sonriente	Homme mince souriant	Uomo con un debole sorriso
CNAME_NS_ER27_FROST2	Frost Jiro	フロジロー	霜次郎	霜二郎	프로지로	Frost Jiro	Frost Jiro	Frost Jiro	Frost Jiro
CNAME_NS_ER27_FROST2_1	Snowman-like Demon	雪だるまのような悪魔	长得像雪人的恶魔	宛如雪人的惡魔	눈사람 형상의 악마	Schneemannhafter Dämon	Demonio muñeco de nieve	Démon bonhomme de neige	Demone simile a un pupazzo di neve
CNAME_NS_ER31_MAKAMI	Makami	マカミ	真神	真神	마카미	Makami	Makami	Makami	Makami
CNAME_NS_ER31_MAKAMI_1	Wolf-like Demon	白いオオカミの悪魔	白狼的恶魔	白狼的惡魔	흰 늑대 악마	Weißer wolfshafter Dämon	Demonio lobo blanco	Démon loup blanc	Demone simile a un lupo bianco
CNAME_NS_ER31_ROA	Loa	ロア	罗瓦	羅瓦	로아	Loa	Loa	Loa	Loa
CNAME_NS_ER31_ROA_1	Scary-faced Demon	怖い顔の悪魔	长相恐怖的恶魔	容貌驚悚的惡魔	무서운 얼굴의 악마	Dämon mit fürchterlichem Gesicht	Demonio cadavérico	Démon au visage terrifiant	Demone dalla faccia spaventosa
CNAME_NS_ER45_KYUTA	Kyuta	キュウタ	九太	九太	큐타	Kyuta	Kyuta	Kyuta	Kyuta
CNAME_NS_ER45_KYUTA_1	Panicked Man	焦っている男	焦急的男性	焦急的男性	초조해하는 남자	Panischer Mann	Hombre aterrado	Homme paniqué	Uomo nel panico
CNAME_NS_ER39_MEI	Mei	メイ	小梅	小梅	메이	Mei	Mei	Mei	Mei
CNAME_NS_ER39_MEI_1	Disingenuous Hostess	空元気なキャバ嬢	强颜欢笑的公关小姐	假開朗的酒店小姐	허세 부리는 접대부	Übertrieben fröhliche Hostess	Hostess forzadamente simpática	Hôtesse à l'entrain forcé	Hostess zelante
CNAME_NS_ER39_REN	Ren	レン	莲	蓮	렌	Ren	Ren	Ren	Ren
CNAME_NS_ER39_REN_1	Exhausted Man	疲れ果てた男	疲惫不堪的男性	筋疲力盡的男性	녹초가 된 남자	Erschöpfter Mann	Hombre agotado	Homme éreinté	Uomo esausto
CNAME_NS_ER02_DOPPEL	Doppelganger	ドッペルゲンガー	二重身	幻靈	도플갱어	Doppelgänger	Doble	Sosie	Sosia
CNAME_NS_ER02_DOPPEL_1	Ringo?	リンゴ？	林檎？	林檎？	링고?	Ringo?	¿Ringo?	Ringo ?	Ringo?
CNAME_NS_ER42_SAKURO	Sakuro	サクロウ	佐久郎	佐久郎	사쿠로	Sakuro	Sakuro	Sakuro	Sakuro
CNAME_NS_ER42_SAKURO_1	Stern Man	表情の険しい男	表情严峻的男性	表情嚴厲的男性	험악한 표정의 남자	Strenger Mann	Hombre serio	Homme à l'air sévère	Uomo dall'aspetto austero
CNAME_NS_ER23_AKO	Ako	アコ	亚子	亞子	아코	Ako	Ako	Ako	Ako
CNAME_NS_ER23_AKO_1	Cheerful Woman	朗らかな女	开朗的女性	開朗的女性	명랑한 여자	Fröhliche Frau	Mujer alegre	Femme chaleureuse	Donna allegra
CNAME_NS_ER51_EDO	Ed	エド	艾德	艾德	에도	Ed	Ed	Ed	Ed
CNAME_NS_ER51_EDO_1	Pretentious Man	気取った男	耍帅的男性	裝腔作勢的男性	잘난 척하는 남자	Überheblicher Mann	Hombre pretencioso	Homme vantard	Uomo presuntuoso
CNAME_NS_ER14_WILD_M	Gruff Man	荒々しい男	粗暴的男性	粗暴的男性	험악한 남자	Ruppiger Mann	Hombre arisco	Homme bourru	Uomo burbero
CNAME_NS_ER14_POLITE_M	Polite Man	礼儀正しい男	知书达礼的男性	禮儀端正的男性	예의 바른 남자	Höflicher Mann	Hombre cortés	Homme poli	Uomo educato
CNAME_NS_ER28_FROST3	Frost Saburo	フロサブロ	霜三郎	霜三郎	프로사부로	Frost Saburo	Frost Saburo	Frost Saburo	Frost Saburo
