en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
Bulletproof Shirt	ケプラーシャツ	케플러 셔츠	凯夫拉衬衫	克維拉襯衫	Kugelsicheres Hemd	Camiseta antibalas	T-shirt pare-balles	Camicia blindata	Koszula kuloodporna	Camisa Blindada	Пуленепробиваемая рубашка	Kurşungeçirmez Tişört
Camo Shirt	サバイバルガード	서바이벌 가드	野外生存服	求生衣	Tarnhemd	Camiseta de camuflaje	T-shirt camouflage	Camicia mimetica	Koszulka moro	Camisa de Camuflagem	Камуфляжная футболка	Kamuflajlı Tişört
Master's Garment	達人の胴衣	달인의 조끼	高手的上衣	達人上衣	Meistergewand	Ropa de maestro	Habit de maître	Vesti del maestro	Odzież mistrza	Vestimenta do Mestre	Наряд хозяина	Ustanın Giysisi
Amigo Poncho	アミーゴポンチョ	아미고 판초	墨西哥披风	好友披掛	Amigo-Poncho	Poncho de amigo	Poncho amigo	Amigo Poncho	Amigo poncho	Poncho Amigo	Пончо амиго	Yoldaş Pançosu
Metal Protector	メタルガード	메탈 가드	金属护具	金屬防護衣	Metallpolster	Protector metal	Protection en métal	Piastre metalliche	Metalowa osłona	Protetor de Metal	Металлическая пластина	Metal Koruyucu
All-Purpose Apron	多機能エプロン	다기능 앞치마	多功能围裙	多功能圍裙	Allzweckschürze	Delantal multiusos	Tablier multi-usage	Grembiule multiuso	Wszechstronny fartuch	Avental Multiuso	Универсальный передник	Çok Amaçlı Önlük
Tigerhide Belt	虎皮の腹巻	호피 복대	虎皮缠腰	虎皮護腰	Tigerfellgürtel	Cinturón de piel de tigre	Ceinture peau de tigre	Cintura di tigre	Pas ze skóry tygrysa	Cinto de Tigre	Пояс из тигриной шкуры	Kaplan Derisi Kemer
Bulletproof Vest	ケプラーベスト	케플러 베스트	凯夫拉背心	克維拉背心	Kugelsichere Weste	Chaleco antibalas	Gilet pare-balles	Gilet blindato	Kamizelka kuloodporna	Colete Blindado	Бронежилет	Kurşungeçirmez Yelek
Tetra Jammer	テトラジャマー	테트라 재머	提特拉加玛	提特拉護甲	Tetra-Blocker	Tetratraje	Armure à talisman	Tetraostacolatore	Zakłócacz tetra	Tetrabermuda	Тетракостюм	Dört Parçalı Sinyal Kesici
Robe of Salvation	引誓の衣	맹세의 옷	引誓之衣	誓約之衣	Robe der Erlösung	Túnica de salvación	Robe du salut	Veste salvifica	Szata zbawienia	Veste da Salvação	Роба спасения	Kurtuluş Elbisesi
Emergency Vest	完全防災ベスト	완전 방재 베스트	完全防灾背心	完全防災背心	Rettungsweste	Chaleco de emergencia	Gilet d'urgence	Gilet d'emergenza	Kamizelka ratunkowa	Colete de Emergência	Спасательный жилет	Acil Durum Yeleği
Hero's Knickers	任侠のステテコ	협객의 잠방이	任侠的短衬裤	任俠七分褲	Heldenschlüpfer	Calzones de héroe	Culotte de héros	Intimo dell'eroe	Majtki bohatera	Cueca do Herói	Панталоны героя	Kahraman Pantolonu
Mantle of Wind	風のマント	바람의 망토	风之斗篷	風之斗篷	Windumhang	Manto del viento	Cape du vent	Mantella del vento	Opończa wiatru	Manto do Vento	Мантия ветра	Rüzgar Pelerini
Robe of Warding	結界の法衣	결계의 법의	结界之法袍	結界法衣	Abwehrrobe	Túnica de protección	Robe protectrice	Veste protettiva	Szata osłony	Veste da Resguarda	Роба-оберег	Kaçma Elbisesi
Rangda Robe	スカジャランダ	스카자랑다	女巫刺绣夹克	蘭達刺繡外套	Rangda-Robe	Túnica de Rangda	Robe de Rangda	Veste di Rangda	Szata Rangda	Veste de Rangda	Роба Рангды	Rangda Elbisesi
Defender Cloak	ハイドマント	하이드 망토	藏身斗篷	隱身斗篷	Verteidigerumhang	Capa defensiva	Cape défensive	Manto della difesa	Peleryna obrońcy	Capa do Defensor	Плащ защитника	Muhafız Pelerini
Gigantic Armor	ギガントアーマー	기간트 아머	巨人盔甲	巨人鎧甲	Riesenrüstung	Armadura gigantesca	Armure titanesque	Armatura colossale	Gigantyczny pancerz	Armadura Gigante	Броня гиганта	Devasa Zırh
Stealth Shirt	ステルス甚平	스텔스 진베	隐形甚平	隱身甚平	Tarn-Shirt	Camisa de sigilo	Chemise d'infiltration	Camicia furtiva	Koszula skradania	Camisa Furtiva	Футболка скрытности	Görünmez Tişört
Kukai's Vestment	空海の袈裟	공해의 법복	空海的袈裟	空海的袈裟	Kukais Ornat	Vestimenta de Kukai	Tenue de Kukai	Paramenti di Kukai	Ornat Kukaia	Vestimenta de Kukai	Облачение Кукая	Kukai'nin Cübbesi
Battle Leotard	バトルレオタード	배틀 레오타드	战斗体操服	戰鬥體操服	Kampftrikot	Leotardo de combate	Justaucorps de combat	Body da guerra	Bitewny trykot	Collant de Batalha	Боевое трико	Sıkı Savaş Giysisi
Sid's Jacket	シドジャケット	시드 재킷	英雄夹克	席德夾克	Sids Jacke	Chaqueta de Sid	Veste de punk	Giacca di Sid	Kurtka Sida	Jaqueta do Sid	Куртка Сида	Sid'in Ceketi
Kaiser Armor	カイザーアーマー	카이저 아머	凯萨盔甲	凱薩鎧甲	Kaiserrüstung	Armadura emperador	Armure de kaiser	Armatura kaiser	Pancerz cesarza	Armadura do Kaiser	Броня Кайзера	İmparator Zırhı
Carbon Jacket	グランドスーツ	그랜드 슈트	豪华西服	豪華西裝	Hartlederjacke	Chaqueta de carbono	Veste en cuir	Giacca in carbonio	Karbonowa kurtka	Jaqueta de Carbono	Угольно-черная куртка	Karbon Ceket
Spiked Bra	スパイクブラ	스파이크 브라	尖刺胸衣	尖刺胸罩	Stachel-BH	Sujetador de pinchos	Soutif à pointes	Reggiseno chiodato	Kolczasty stanik	Sutiã Espetado	Кроп-топ с шипами	Çivili Sütyen
Phantom Robe	幻影の衣	환영의 옷	幻影之衣	幻影之衣	Phantom-Robe	Túnica de fantasma	Robe fantôme	Veste fantasma	Widmowa szata	Veste Fantasmagórica	Призрачный балахон	Hayalet Elbisesi
Final Armor	ファイナルアーマー	파이널 아머	究极盔甲	終極鎧甲	Endrüstung	Armadura definitiva	Armure ultime	Armatura finale	Ostateczny pancerz	Armadura Final	Броня конца	Nihai Zırh
Demon's Mail	デモンズメイル	데몬즈 메일	恶魔锁子甲	惡魔鎖子甲	Dämonenhaut	Malla de demonio	Cotte du démon	Maglia del demone	Pancerz demona	Cota do Demônio	Кольчуга демона	Şeytanın Zırhı
Powered Suit	パワードスーツ	파워드 슈트	动力服	動力外骨骼	Kraftanzug	Traje potenciado	Tenue de puissance	Tuta potenziata	Zasilany garnitur	Terno Potencializado	Усиленный костюм	Güçlü Takım Elbise
Silver Plate	シルバープレート	실버 플레이트	白银板甲	白銀板甲	Silberplatte	Peto de plata	Cuirasse argentée	Corazza d'argento	Srebrna zbroja płytowa	Placa de Prata	Серебряная пластина	Gümüş Kaplama
Papal Robe	法王の衣	법황의 옷	教皇之衣	教皇之衣	Papal-Robe	Túnica papal	Robe papale	Veste papale	Papieskie szaty	Veste Papal	Папская ряса	Papa Elbisesi
Eternal Plate	悠久の鎧	영원의 갑옷	悠久之铠	悠久之鎧	Ewigkeitsplatte	Peto eterno	Cuirasse éternelle	Corazza eterna	Wieczna zbroja płytowa	Placa Eterna	Вековечная пластина	Ebedi Kaplama
Hallowed Plate	ジーザスガード	지저스 가드	人子护具	救世主護甲	Heilige Platte	Placa sacra	Cuirasse sainte	Corazza consacrata	Uświęcona zbroja płytowa	Placa Sacra	Освященный нагрудник	Kutsal Kaplama
Armor of Light	明星の鎧	명성의 갑옷	明星之铠	明星之鎧	Lichtrüstung	Armadura de luz	Armure de lumière	Armatura di luce	Pancerz światła	Armadura da Luz	Броня света	Işık Zırhı
Pixel Vest	ピクセルベスト	픽셀 베스트	像素背心	像素背心	Pixelweste	Chaleco retro	Gilet Pixel	Gilet pixel	Pikselowa kamizelka	Colete de Pixels	Пиксельный жилет	Piksel Yelek
Muscle Shirt	マッスルシャツ	머슬 셔츠	肌肉衬衫	肌肉襯衫	Muskelshirt	Camiseta de musculitos	T-shirt pour muscles	Maglia muscolosa	Koszula mięśniaka	Camisa Musculosa	Анатомическая футболка	Kaslı Tişört
Hothead Shirt	熱血シャツ	열혈 셔츠	热血衬衫	熱血襯衫	Hitzkopfhemd	Camiseta impulsiva	Chemise tête brûlée	Maglia testa calda	Koszula nerwusa	Camisa do Esquentado	Футболка заводилы	Sinirli Tişört
Slugger's Jacket	アンダースタジャン	언더 야구 점퍼	潮牌棒球服	安打運動外套	Schlägerjacke	Chaqueta de bateador	Veste de champion	Giacca da picchiatore	Kurtka sportowca	Jaqueta do Rebatedor	Куртка бейсболиста	Beyzbol Ceketi
Daft Jacket	クレイジージャケット	크레이지 재킷	疯狂夹克	狂野夾克	Alberne Jacke	Chaqueta ridícula	Veste loufoque	Giacca ridicola	Kurtka szaleńca	Jaqueta Besta	Куртка кутилы	Çılgın Ceket
Vaudevillian Cape	多芸のマント	다재다능 망토	多艺斗篷	多才斗篷	Vaudeville-Umhang	Capa vodevilesca	Cape vaudevillesque	Manto vaudeville	Wodewilowa peleryna	Capa Burlesca	Сценический плащ	Vodvil Pelerini
Angel Armor	エンジェルアーマー	엔젤 아머	天使盔甲	天使鎧甲	Engelsrüstung	Armadura angelical	Armure d'ange	Armatura angelica	Pancerz anioła	Armadura de Anjo	Ангельская броня	Melek Zırhı
Ballistic Vest	バリスティックベスト	벌리스틱 베스트	防弹背心	防彈背心	Ballistische Weste	Chaleco antibalas	Gilet balistique	Giubbotto balistico	Kamizelka balistyczna	Colete Balístico	Баллистический жилет	Balistik Yelek
Hero's Cape	ヒーローマント	히어로 망토	英雄斗篷	英雄斗篷	Heldenumhang	Capa de héroe	Cape héroïque	Manto dell'eroe	Peleryna bohatera	Capa do Herói	Плащ героя	Kahraman Pelerini
Fiery Vest	情熱のベスト	정열의 베스트	热情背心	熱情背心	Feurige Weste	Chaleco abrasador	Gilet flamboyant	Gilet ardente	Ognista kamizelka	Colete Ardente	Огненный жилет	Ateşli Yelek
Water God Armor	水神の鎧	수신의 갑옷	水神之铠	水神之鎧	Wassergottrüstung	Armadura del dios del agua	Armure dieu de l'eau	Armatura del dio dell'acqua	Pancerz boga wody	Cota do Deus da Água	Броня бога воды	Su Tanrısı Zırhı
Stab-Proof Vest	防刃ジャケット	방검 재킷	防刃夹克	防刮夾克	Stichsichere Weste	Chaleco antipuñaladas	Gilet anti-poignard	Giubbotto anti-pugnalata	Kamizelka odporna na dźgnięcia	Colete Antiestocada	Непротыкаемый жилет	Kesiğe Dayanıklı Yelek
Sorcery Robe	まじないローブ	주술의 로브	咒语长袍	詛咒長袍	Zauberrobe	Túnica de hechicería	Robe magique	Veste occulta	Czarodziejska peleryna	Veste de Feitiçaria	Накидка волшебника	Büyücü Elbisesi
Plate Mail	プレートメイル	플레이트 메일	板金甲胄	板甲	Kettenplatte	Armadura de placas	Plastron	Armatura a piastre	Pancerz płytowy	Cota de Placa	Латный доспех	Kaplama Zırh
Bullfighter's Cape	闘牛士のマント	투우사의 망토	斗牛士斗篷	鬥牛士斗篷	Torero-Umhang	Capote de torero	Cape de torero	Manto del torero	Peleryna torreadora	Capa de Toureiro	Плащ тореадора	Matador Pelerini
Armada Bustier	アルマダビスチェ	아르마다 뷔스티에	无敌马甲	無敵馬甲	Armada-Bustier	Corsé de escuadra	Bustier de l'armada	Bustino dell'Armata	Gorset armady	Bustiê da Armada	Корсет армады	Donanma Büstiyeri
Adamant Armor	アダマントアーマー	아다만트 아머	精金盔甲	金剛石鎧甲	Diamantrüstung	Armadura adamantina	Armure inflexible	Armatura resistente	Adamantowy pancerz	Armadura Adamantina	Адамантовая броня	Sert Zırh
Elegant Scarf	風まといのスカーフ	바람을 두른 스카프	缠风领巾	纏風圍巾	Eleganter Schal	Bufanda elegante	Écharpe élégante	Sciarpa elegante	Elegancki szalik	Cachecol Elegante	Элегантный шарф	Şık Atkı
Anorak Parka	アノラックパーカー	아노락 파카	套头冲锋衣	防寒連帽衫	Anorak-Parka	Anorak	Anorak	Giacca a vento	Parka z kapturem	Parca	Куртка-анорак	Anorak Parka
Aramid Full Shell	ＫＪ式フルシェル	KJ식 풀 셸	ＫＪ式全覆盖保护壳	桐条式全殼層護甲	Aramid-Vollrüstung	Armazón de aramida	Armure totale aramide	Guscio aramidico	Aramidowa pełna skorupa	Casco de Aramida	Арамидная броня	Aramid Kabuk
Aramid Vest	ＫＪ式ボディベスト	KJ식 보디 베스트	ＫＪ式背心夹克	桐条式護身背心	Aramid-Weste	Chaleco de aramida	Gilet en aramide	Gilet aramidico	Aramidowa kamizelka	Colete de Aramida	Арамидный жилет	Aramid Yelek
Aramid Plate	ＫＪ式プレート	KJ식 플레이트	ＫＪ式板甲	桐条式板甲	Aramid-Platte	Placa de aramida	Cuirasse en aramide	Corazza aramidica	Aramidowa zbroja płytowa	Placa de Aramida	Арамидный нагрудник	Aramid Kaplama
Aramid White Shell	ＫＪ式ホワイトシェル	KJ식 화이트 셸	ＫＪ式白色保护壳	桐条式純白護甲	Aramid-Weißrüstung	Armazón blanco de aramida	Blindage blanc aramide	Guscio aramidico bianco	Aramidowa biała skorupa	Casco Branco Aramida	Белая арамидная броня	Aramid Beyaz Kabuk
Aramid Compound	ＫＪ式Ｗプレート	KJ식 W 플레이트	ＫＪ式双层板甲	桐条式雙面板甲	Aramid-Verbindung	Compuesto aramida	Combinaison en aramide	Complesso aramidico	Aramidowa zbroja kompozytowa	Composto de Aramida	Арамидный композит	Aramid Bileşim
Aramid Harness	ＫＪ式Ｃハーネス	KJ식 C 하네스	ＫＪ式战术身体绑带	桐条式Ｃ型背心	Aramid-Harnisch	Arnés de aramida	Harnais en aramide	Bardatura aramidica	Aramidowa uprząż	Arnês de Aramida	Арамидная обвязка	Aramid Büstiyeri
Ergo Lamellar	エルゴ式ラメラー	에르고식 라멜라	人因式叠层装甲	人研所式札甲	Ergo-Lamellenpanzer	Lamelar Ergo	Armure lamellaire ergo	Lamellare di Ergo	Zbroja lamelkowa ergo	Lamelar Ergo	Эрго-пластины	Ergo Katmanı
Ergo Vest	エルゴ式ボディベスト	에르고식 보디 베스트	人因式背心夹克	人研所式護身背心	Ergo-Weste	Chaleco Ergo	Gilet ergo	Gilet di Ergo	Kamizelka ergo	Colete Ergo	Эрго-жилет	Ergo Yeleği
Ergo Scale	エルゴ式スケイル	에르고식 스케일	人因式鳞甲	人研所式鱗甲	Ergo-Schuppe	Protección Ergo	Haubert ergo	Scaglia di Ergo	Zbroja łuskowa ergo	Segmentos Ergo	Эрго-кольчуга	Ergo Pulu
Ergo Plate	エルゴ式プレート	에르고식 플레이트	人因式板甲	人研所式板甲	Ergo-Platte	Placa Ergo	Cuirasse ergo	Lastra di Ergo	Zbroja płytowa ergo	Placa Ergo	Эрго-нагрудник	Ergo Kaplama
Ergo Alloy	エルゴ式Ｓアロイ	에르고식 S 알로이	人因式超合金装甲	人研所式Ｓ型合金甲	Ergo-Legierung	Aleación Ergo	Alliage ergo	Lega di Ergo	Zbroja ze stopu ergo	Ligas Ergo	Эрго-сплав	Ergo Alaşımı
Ergo Compound	エルゴ式Ｗプレート	에르고식 W 플레이트	人因式双层板甲	人研所式Ｗ型板甲	Ergo-Verbindung	Compuesto Ergo	Combinaison ergo	Complesso di Ergo	Zbroja kompozytowa ergo	Composto Ergo	Эрго-композит	Ergo Bileşimi
Soul of Athena	ソウルオブジアテナ	소울 오브 디 아테나	雅典娜之魂	雅典娜之魂	Athenes Seele	Alma de Atenea	Âme d'Athéna	Anima di Atena	Dusza Ateny	Alma de Atena	Душа Афины	Athena'nın Ruhu
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Ergo Armor	エルゴ式フルボディ	에르고식 풀 보디	人因式全身甲	人研所式全身護甲	Ergo-Rüstung	Armadura Ergo	Armure ergo	Armatura di Ergo	Pancerz ergo	Armadura Ergo	Эрго-броня	Ergo Zırhı
Ergo Shell	エルゴ式メタル	에르고식 메탈	人因式金属甲	人研所式金屬甲	Ergo-Rüstung	Caparazón Ergo	Carapace ergo	Guscio di Ergo	Skorupa ergo	Casco Ergo	Эрго-латы	Ergo Kabuğu
Ver. 0 Armor	ナンバーレス	넘버리스	失落编号	無名裝甲	Ver.0-Rüstung	Armadura ver. 0	Armure v.0	Armatura ver. 0	Pancerz wer. 0	Armadura Ver. 0	Прототип брони	Sürüm 0 Zırh
Rock Dog Suit	ロックドッグスーツ	록 도그 슈트	摇滚狗狗服	搖滾狗狗套裝	Rocker-Hundeanzug	Traje roquero	Tenue chien rock	Tuta canina rock	Kamienny kombinezon dla psa	Roupa Canina do Rock	Плотный собачий костюм	Kaya Köpek Kıyafeti
Hard Dog Suit	ハードドッグスーツ	하드 도그 슈트	硬化狗狗服	堅硬狗狗套裝	Fester Hundeanzug	Traje de perro duro	Tenue chien robuste	Tuta canina solida	Twardy kombinezon dla psa	Roupa Canina Rígida	Крепкий собачий костюм	Sert Köpek Kıyafeti
Leather Dog Suit	レザードッグスーツ	레더 도그 슈트	皮革狗狗服	皮製狗狗套裝	Leder-Hundeanzug	Traje de cuero	Tenue chien en cuir	Tuta canina in pelle	Skórzany kombinezon dla psa	Roupa Canina Couro	Кожаный собачий костюм	Deri Köpek Kıyafeti
Metal Dog Suit	メタルドッグスーツ	메탈 도그 슈트	金属狗狗服	金屬狗狗套裝	Metall-Hundeanzug	Traje de metal	Tenue chien en métal	Tuta canina in metallo	Metalowy kombinezon dla psa	Roupa Canina Metal	Металлический собачий костюм	Metal Köpek Kıyafeti
Light Dog Suit	ライトドッグスーツ	라이트 도그 슈트	轻型狗狗服	輕量狗狗套裝	Leichter Hundeanzug	Traje ligero	Tenue chien lumière	Tuta canina leggera	Lekki kombinezon dla psa	Roupa Canina Leve	Облегченный собачий костюм	Hafif Köpek Kıyafeti
Titanium Dog Suit	チタンドッグスーツ	티탄 도그 슈트	钛金狗狗服	鈦合金狗狗套裝	Titan-Hundeanzug	Traje de titanio	Tenue chien titane	Tuta canina in titanio	Tytanowy kombinezon dla psa	Roupa Canina Titânio	Титановый собачий костюм	Titanyum Köpek Kıyafeti
Soul Dog Suit	ソウルドッグスーツ	소울 도그 슈트	灵魂狗狗服	靈魂狗狗套裝	Seelen-Hundeanzug	Traje espiritual	Tenue chien âme	Tuta canina spirituale	Kombinezon duszy	Roupa Canina da Alma	Собачий костюм души	Ruh Köpek Kıyafeti
Cross Dog Suit	クロスドッグスーツ	크로스 도그 슈트	十字狗狗服	十字狗狗套裝	Kreuz-Hundeanzug	Traje cruzado	Tenue chien croix	Tuta canina croce	Kombinezon krzyża	Roupa Canina de Cruz	Собачий костюм с крестами	Haçlı Köpek Kıyafeti
Platinum Dog Suit	プラチナドッグスーツ	플래티나 도그 슈트	白金狗狗服	白金狗狗套裝	Platin-Hundeanzug	Traje de platino	Tenue chien platine	Tuta canina in titanio	Platynowy kombinezon dla psa	Roupa Canina Platina	Платиновый собачий костюм	Platin Köpek Kıyafeti
Powered Dog Suit	パワードッグスーツ	파워 도그 슈트	动力狗狗服	動力狗狗套裝	Kraft-Hundeanzug	Traje potenciado	Tenue chien puissance	Tuta canina potenziata	Zasilany kombinezon dla psa	Roupa Canina Forte	Усиленный собачий костюм	Güçlendirilmiş Köpek Kıyafeti
Dark Dog Suit	ダークドッグスーツ	다크 도그 슈트	暗黑狗狗服	黑暗狗狗套裝	Dunkler-Hundeanzug	Traje oscuro	Tenue chien ombre	Tuta canina oscura	Mroczny kombinezon dla psa	Roupa Canina Escura	Темный собачий костюм	Koyu Köpek Kıyafeti
Lunar Dog Suit	ルナドッグスーツ	루나 도그 슈트	月光狗狗服	月光狗狗套裝	Mond-Hundeanzug	Traje lunar	Tenue chien lunaire	Tuta canina lunare	Księżycowy kombinezon dla psa	Roupa Canina Lunar	Лунный собачий костюм	Ay Baskılı Köpek Kıyafeti
Aura Dog Suit	オーラドッグスーツ	오라 도그 슈트	灵气狗狗服	靈氣狗狗套裝	Aura-Hundeanzug	Traje con halo	Tenue chien aura	Tuta canina Aura	Kombinezon aury	Roupa Canina Aura	Собачий костюм ауры	Aura Köpek Kıyafeti
Shining Dog Suit	シャインドッグスーツ	샤인 도그 슈트	闪光狗狗服	光明狗狗套裝	Glänzender Hundeanzug	Traje deslumbrante	Tenue chien brillante	Tuta canina brillante	Lśniący kombinezon dla psa	Roupa Canina Brilho	Сияющий собачий костюм	Parlayan Köpek Kıyafeti
Sun Dog Suit	サンドッグスーツ	선 도그 슈트	太阳狗狗服	太陽狗狗套裝	Sonne-Hundeanzug	Traje solar	Tenue chien solaire	Tuta canina solare	Słoneczny kombinezon	Roupa Canina Solar	Солнечный собачий костюм	Güneşli Köpek Kıyafeti
Star Dog Suit	スタードッグスーツ	스타 도그 슈트	星星狗狗服	星星狗狗套裝	Stern-Hundeanzug	Traje estrellado	Tenue chien stellaire	Tuta canina stellare	Gwieździsty kombinezon	Roupa Canina Estelar	Звездный собачий костюм	Yıldızlı Köpek Kıyafeti
Gaia Dog Suit	ガイアドッグスーツ	가이아 도그 슈트	盖亚狗狗服	蓋亞狗狗套裝	Gaia-Hundeanzug	Traje de Gea	Tenue chien de Gaia	Tuta canina Gaia	Kombinezon Gai	Roupa Canina de Gaia	Собачий костюм Геи	Gaia Köpek Kıyafeti
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Samurai's Haori	武士の羽織	무사의 하오리	武士羽织	武士羽織	Samurai-Haori	Haori de samurái	Haori de samouraï	Haori da samurai	Haori samuraja	Haori de Samurai	Хаори самурая	Samuray Haorisi
Pink Duffle Coat	ダッフルピンクコート	더플 핑크 코트	粉红牛角扣大衣	羊毛牛角扣粉紅大衣	Rosa Dufflecoat	Trenca rosa	Manteau de sport rose	Montgomery rosa	Różowa budrysówka	Casaco de Lã Rosa	Розовое пальто	Pembe Kamp Montu
Army Vest	アーミーベスト	아미 베스트	军队背心	軍隊背心	Armeeweste	Chaleco del ejército	Gilet militaire	Gilet militare	Wojskowa kamizelka	Colete do Exército	Военный жилет	Asker Yeleği
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Samue of the Tengu	大天狗の作務衣	다이텐구의 법의	大天狗工作服	大天狗工作服	Samue der Tengu	Samue de los Tengu	Samue du Tengu	Samue del Tengu	Samue tengu	Samuê do Tengu	Самуэ тэнгу	Tengu'nun Samuesi
Fairy Cloak	妖精のマント	요정의 망토	妖精斗篷	妖精斗篷	Feenmantel	Capa feérica	Cape féérique	Manto fatato	Peleryna wróżki	Capote de Fada	Плащ фей	Peri Pelerini
Divine Black Tights	地母の黒タイツ	지모의 검은 타이츠	地母神黑裤袜	地母神黑褲襪	Himmlische schwarze Strumpfhose	Medias negras divinas	Collants noirs divins	Calzamaglia nera divina	Boskie czarne rajstopy	Meia-calça Divina	Священное черное трико	İlahi Siyah Tayt
