en	ja	ko	zh-Hans	zh-Hant	de	es	fr	it	pl	pt	ru	tr
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Physical Ward	物理見切りの書	물리 회피의 책	物理识破之书	物理識破之書	Körperlich-Bann	Protector físico	Bouclier Physique	Guardafisico	Strażnik fizyczny	Guarda Física	Оберег от физ. урона	Fiziksel Koruyucu
Mystic Charm	魔族のお守り	마족의 부적	魔族护身符	魔族護身符	Mystisch-Bann	Amuleto místico	Charme mystique	Ciondolo mistico	Mistyczny amulet	Patuá Místico	Кулон мистика	Mistik Efsun
Slash Ward	斬撃見切りの書	참격 회피의 책	斩击识破之书	斬擊識破之書	Hieb-Bann	Protector de cortes	Bouclier Taillade	Guardataglio	Strażnik cięć	Guarda de Corte	Оберег от рассечения	Kesme Koruyucusu
Slash Eluder	斬撃見切りの書・極	참격 회피의 책·극	斩击识破之书·极	斬擊識破之書．極	Hieb-Ausweicher	Reductor de cortes	Déflecteur Taillade	Schivataglio	Unikacz cięć	Evasão a Corte	Апотропей от рассечения	Kesme Savar
Strike Ward	打撃見切りの書	타격 회피의 책	打击识破之书	打擊識破之書	Schlag-Bann	Protector de contundentes	Bouclier Frappe	Guardacolpi	Strażnik uderzeń	Guarda de Contusão	Оберег от удара	Vuruş Koruyucusu
Strike Eluder	打撃見切りの書・極	타격 회피의 책·극	打击识破之书·极	打擊識破之書．極	Schlag-Ausweicher	Reductor de contundentes	Déflecteur Frappe	Schivacolpi	Unikacz uderzeń	Evasão a Contusão	Апотропей от удара	Vuruş Savar
Pierce Ward	貫通見切りの書	관통 회피의 책	贯穿识破之书	貫穿識破之書	Durchbohren-Bann	Protector de perforaciones	Bouclier Perforation	Guardaperforazione	Strażnik pchnięć	Guarda de Perfuração	Оберег от пронзания	Delme Koruyucusu
Pierce Eluder	貫通見切りの書・極	관통 회피의 책·극	贯穿识破之书·极	貫穿識破之書．極	Durchbohren-Ausweicher	Reductor de perforación	Déflecteur Perforation	Schivaperforazione	Unikacz pchnięć	Evasão a Perfuração	Апотропей от пронзания	Delme Savar
Flame Charm	炎族のお守り	불꽃족의 부적	炎族护身符	炎族護身符	Flammenamulett	Amuleto de llama	Charme de flamme	Ciondolo del fuoco	Amulet płomienia	Patuá de Chama	Кулон пламени	Ateş Efsunu
Eye of Flame	炎神の瞳	불꽃신의 눈동자	炎神之瞳	炎神之瞳	Auge der Flamme	Ojo flamígero	Œil de flamme	Occhio del fuoco	Oko płomienia	Olho da Chama	Око пламени	Ateşin Gözü
Ice Charm	氷族のお守り	얼음족의 부적	冰族护身符	冰族護身符	Eisamulett	Amuleto de hielo	Charme de glace	Ciondolo glaciale	Amulet lodu	Patuá de Gelo	Кулон льда	Buz Efsunu
Eye of Ice	氷神の瞳	얼음신의 눈동자	冰神之瞳	冰神之瞳	Auge des Eises	Ojo helado	Œil de glace	Occhio del ghiaccio	Oko lodu	Olho do Gelo	Око льда	Buzun Gözü
Wind Charm	風族のお守り	바람족의 부적	风族护身符	風族護身符	Windamulett	Amuleto de viento	Charme de vent	Ciondolo del vento	Amulet wiatru	Patuá de Vento	Кулон ветра	Rüzgar Efsunu
Eye of Wind	風神の瞳	바람신의 눈동자	风神之瞳	風神之瞳	Auge des Windes	Ojo ventoso	Œil de vent	Occhio del vento	Oko wiatru	Olho do Vento	Око ветра	Rüzgarın Gözü
Thunder Charm	雷族のお守り	번개족의 부적	雷族护身符	雷族護身符	Donneramulett	Amuleto de trueno	Charme de foudre	Ciondolo tonante	Amulet gromu	Patuá de Trovão	Кулон грома	Gök Gürültüsü Efsunu
Eye of Thunder	雷神の瞳	번개신의 눈동자	雷神之瞳	雷神之瞳	Auge des Donners	Ojo del trueno	Œil de foudre	Occhio del tuono	Oko gromu	Olho do Trovão	Око грома	Gök Gürültüsünün Gözü
Masakado's Hair	将門の髪	마사카도의 모발	将门的头发	將門之髮	Masakados Haar	Pelo de Masakado	Chevelure de Masakado	Chioma di Masakado	Włosy Masakada	Cabelos de Masakado	Прядь Масакадо	Masakado'nun Saçı
Book of Enoch	エノク書	에녹서	以诺书	以諾書	Buch Henoch	Libro de Enoc	Livre d'Hénoch	Libro di Enoch	Księga Enocha	Livro de Enoque	Книга Еноха	Enok'un Kitabı
Barbaric Bracers	蛮神の腕輪	야만신의 팔찌	蛮神手镯	蠻神手鐲	Barbaren-Armschienen	Brazales bárbaros	Brassards barbares	Bracciali barbari	Barbarzyńskie naramienniki	Braçais Bárbaros	Наручи варвара	Barbar Kol Zırhı
Light Charm	光族のお守り	빛족의 부적	光族护身符	光族護身符	Licht-Amulett	Amuleto de luz	Charme de lumière	Ciondolo della luce	Amulet światła	Patuá de Luz	Кулон света	Işık Efsunu
Eye of Light	光神の瞳	빛신의 눈동자	光神之瞳	光神之瞳	Auge des Lichts	Ojo de luz	Œil de lumière	Occhio della luce	Oko światła	Olho da Luz	Око света	Işığın Gözü
Dark Charm	闇族のお守り	어둠족의 부적	暗族护身符	闇族護身符	Dunkel-Amulett	Amuleto de oscuridad	Charme d'ombre	Ciondolo dell'oscurità	Amulet mroku	Patuá de Trevas	Кулон тьмы	Karanlık Efsunu
Eye of Darkness	闇神の瞳	어둠신의 눈동자	暗神之瞳	闇神之瞳	Auge der Dunkelheit	Ojo de oscuridad	Œil d'ombre	Occhio dell'oscurità	Oko mroku	Olho da Escuridão	Око тьмы	Karanlığın Gözü
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Sword God's Sheath	剣神の鞘	검신의 칼집	剑神之鞘	劍神之鞘	Schwertgottscheide	Vaina del Dios de la espada	Étui du dieu de l'épée	Fodero del dio delle spade	Pochwa boga wojny	Bainha do Deus-Futsu	Ножны бога меча	Kılıç Tanrısının Kını
Kohryu's Scale	黄龍の鱗	황룡의 비늘	黄龙之鳞	黃龍之鱗	Kohryus Schuppe	Escama de Kouryuu	Écaille de Kohryu	Scaglia di Kohryu	Zbroja łuskowa Kohryu	Escama de Kohryu	Чешуя Корю	Kohryu'nun Pulu
Impenetrable Doll	不壊土偶	불괴토우	不灭土偶	不壞土偶	Undurchdringliche Puppe	Muñeca impenetrable	Poupée impénétrable	Bambola impenetrabile	Nieprzenikniona lalka	Boneca Impenetrável	Кукла-непробивашка	Delinmez Bebek
Blazing Flame	極炎塊	극염괴	极炎块	極炎塊	Lodernde Flamme	Llama ígnea	Flamme ardente	Fiamma ruggente	Szalejący płomień	Chama Abrasadora	Яркое пламя	Alevli Ateş
Frozen Stone	絶冷石	절냉석	绝冷石	絕冷石	Eisstein	Piedra congelada	Pierre gelée	Pietra gelida	Zamarznięta skała	Pedra Congelada	Морозный камень	Donmuş Taş
Lightning Gloves	雷神の腕輪	번개신의 팔찌	雷神手镯	雷神手鐲	Blitzhandschuhe	Guantes relámpago	Gants de foudre	Guanti elettrici	Rękawice błyskawicy	Luvas do Raio	Перчатки молний	Yıldırım Eldiveni
Storm Ring	暴嵐の指輪	폭풍의 반지	风暴戒指	暴嵐戒指	Sturmring	Anillo de tormenta	Anneau tempête	Anello tempestoso	Pierścień burzy	Anel da Tempestade	Кольцо шторма	Fırtına Yüzüğü
Radiant Halo	白き光輪	흰 빛의 고리	白光之轮	白色光環	Heiligenschein	Aureola radiante	Auréole radieuse	Aureola radiosa	Promienna aureola	Auréola Radiante	Сияющий нимб	Parlak Hale
Ring of Darkness	黒き闇輪	검은 어둠의 고리	黑暗之轮	黑闇之輪	Dunkelring	Anillo de oscuridad	Anneau d'ombre	Anello oscuro	Pierścień ciemności	Anel da Escuridão	Кольцо тьмы	Karanlık Yüzüğü
Ice Armlet	氷の腕輪	얼음의 팔찌	冰之手镯	冰之手鐲	Eisarmreif	Brazalete gélido	Bracelet de glace	Polsiera del ghiaccio	Bransoleta lodu	Braçadeira do Gelo	Нарукавник льда	Buz Pazubendi
Lightning Armlet	雷の腕輪	번개의 팔찌	雷之手镯	雷之手鐲	Blitzarmreif	Brazalete relámpago	Bracelet de foudre	Polsiera isolante	Bransoleta błyskawicy	Braçadeira do Raio	Нарукавник молний	Yıldırım Pazubendi
Alicorn	アリコーン	알리콘	天角兽	有翼獨角獸	Einhorn	Alicornio	Corne de licorne	Alicorno	Alikorn	Licorne	Аликорн	Kanatlı Tek Boynuz
Unbreakable Cage	レギオンジェイル	레기온 제일	恶灵军团拘留所	惡靈軍團拘留所	Fester Käfig	Jaula irrompible	Cage incassable	Gabbia granitica	Niezniszczalna klatka	Jaula Inquebrável	Неуязвимая клетка	Kırılmaz Kafes
Staunch Anklets	不動の足枷	부동의 족쇄	不动的脚镣	不動的腳鐐	Fußreif der Kraft	Tobilleras firmes	Chaînes robustes	Cavigliere salde	Solidny łańcuch	Tornozeleiras Firmes	Крепкие ножные браслеты	Sağlam Halhal
Narcissus Flower	ナルシスフラワー	나르시스 플라워	水仙花	水仙花	Narzisse	Flor de Narciso	Narcisse	Narciso	Narcyz	Narciso	Цветок нарцисса	Nergis Çiçeği
Serpent's Eye	大蛇の目	이무기의 눈	大蛇之眼	大蛇之眼	Schlangenauge	Ojo de víbora	Œil de serpent	Occhio di serpe	Oko węża	Olho da Serpente	Око змея	Yılan Gözü
Ring of Serenity	静寂の指輪	정적의 반지	寂静戒指	寂靜戒指	Gleichmutring	Anillo de serenidad	Anneau de sérénité	Anello sereno	Pierścień spokoju umysłu	Anel da Serenidade	Кольцо спокойствия	Sükunet Yüzüğü
Tome of the Void	虚無の書	허무의 책	虚无之书	虛無之書	Foliant der Leere	Tomo del vacío	Grimoire du néant	Tomo del vuoto	Księga pustki	Tomo do Vazio	Том пустоты	Boşluğun Kitabı
Omnipotent Orb	全能の真球	전능의 진구	全能真球	全能真球	Kugel der Allmacht	Orbe omnipotente	Orbe omnipotent	Sfera onnipotente	Wszechpotężna kula	Orbe Onipotente	Сфера всесилия	Muktedir Küre
Warrior's Seal	武人の証	무인의 증거	武者之证	武人之證	Kriegersiegel	Sello de combatiente	Sceau de la lutte	Segno guerriero	Pieczęć wojownika	Selo do Guerreiro	Печать воина	Savaşçı Mührü
War God's Seal	武神の証	무신의 증거	武神之证	武神之證	Kriegsgottsiegel	Sello de dios de la guerra	Sceau de la guerre	Segno marziale	Pieczęć boga wojny	Selo do Deus Bélico	Печать бога войны	Savaş Tanrısı Mührü
Berserker's Seal	暴走王の証	폭주왕의 증거	暴走王之证	失控王之證	Berserkersiegel	Sello de bestia	Sceau de la violence	Segno berserker	Pieczęć berserkera	Selo do Berserker	Печать берсерка	Vahşi Savaşçı Mührü
Divine Pillar	完全神柱	완전신주	完全神柱	完全神柱	Göttliche Säule	Pilar divino	Pilier divin	Pilastro divino	Boski filar	Pilar Divino	Божественный столп	İlahi Sütun
Infrared Goggles	暗視ゴーグル	암시 고글	夜视眼镜	夜視鏡	Infrarotbrille	Gafas infrarrojas	Lunettes infrarouges	Occhiali a infrarossi	Gogle na podczerwień	Lente Infravermelha	Прибор ночного видения	Kızılötesi Gözlük
Victory Headband	必勝ハチマキ	필승 머리띠	必胜头巾	必勝頭巾	Siegesstirnband	Diadema de la victoria	Bandeau de victoire	Fascia della vittoria	Opaska zwycięstwa	Faixa da Vitória	Повязка победителя	Zafer Saç Bandı
Sanative Sandalwood	養生の香木	보양의 향목	养生香木	養生香木	Heilsandelholz	Sándalo sanador	Bois de santal curatif	Sandalo curativo	Lecznicze drzewo sandałowe	Sândalo Salutar	Очищающий сандал	Şifalı Sandal Ağacı Odunu
Incense Box	息災の香箱	건강의 향합	消灾香盒	息災香箱	Weihrauchbox	Caja de incienso	Boîte d'encens	Scatola d'incenso	Pudełko kadzideł	Caixa de Incenso	Шкатулка с фимиамом	Tütsü Kutusu
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Land Badge	大地シール	대지의 봉인	大地贴纸	大地貼紙	Landabzeichen	Insignia terrenal	Insigne terrestre	Stemma del suolo	Odznaka lądu	Insígnia Terrena	Значок земли	Kara Rozeti
Earth Badge	地球シール	지구의 봉인	地球贴纸	地球貼紙	Erdabzeichen	Insignia de la tierra	Insigne chthonien	Stemma terrestre	Odznaka ziemi	Insígnia Terrestre	Значок планеты	Dünya Rozeti
Space Badge	宇宙シール	우주의 봉인	宇宙贴纸	宇宙貼紙	Allabzeichen	Insignia espacial	Insigne spatial	Stemma spaziale	Odznaka kosmosu	Insígnia Espacial	Значок космоса	Uzay Rozeti
Mage's Mark	方士バッジ	방사 배지	方士徽章	方士徽章	Zaubererzeichen	Marca del mago	Marque de mage	Marchio magico	Symbol maga	Marca do Mago	Метка мага	Büyücü İşareti
Sorcerer's Mark	道士バッジ	도사 배지	道士徽章	道士徽章	Magierzeichen	Marca del brujo	Marque de magicien	Marchio stregato	Symbol czarownika	Marca do Feiticeiro	Метка колдуна	Efsuncu İşareti
Wizard's Mark	仙人バッジ	신선 배지	仙人徽章	仙人徽章	Hexerzeichen	Marca del hechicero	Marque de sorcier	Marchio esoterico	Symbol czarnoksiężnika	Marca do Bruxo	Метка волшебника	Sihirbaz İşareti
Felt Doll	フェルトの人形	펠트 인형	毛毡人偶	不織布人偶	Filzpuppe	Muñeca de fieltro	Poupée en feutre	Bambola di feltro	Filcowa lalka	Boneca de Feltro	Кукла из войлока	Keçe Oyuncak Bebek
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Sacrificial Idol	神の贄	신의 제물	神的祭品	供神祭品	Opfergötze	Ídolo de sacrificio	Idole sacrificielle	Idolo sacrificale	Bożek ofiarny	Ídolo Sacrificial	Жертвенный идол	Sunak
Prayer Beads	阿弥陀数珠	아미타 염주	阿弥陀佛珠	阿彌陀數珠	Gebetsperlen	Cuentas de oración	Chapelet	Mala da preghiera	Korale modlitewne	Contas de Oração	Рудракша	Dua Tespihi
Rosary	ロザリオ	로사리오	念珠十字架	念珠	Rosenkranz	Rosario	Rosaire	Rosario	Różaniec	Rosário	Четки	Tespih
Bracelet of Life	命脈のミサンガ	명맥의 미산가	命脉幸运手环	命脈幸運手環	Lebensarmkette	Brazalete de vida	Bracelet de vie	Braccialetto vitale	Bransoletka życia	Bracelete da Vida	Браслет жизни	Can Bileziği
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
未使用	未使用	미사용	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用	未使用
Platinum Brooch	プラチナブローチ	플래티나 브로치	白金胸针	白金胸針	Platinbrosche	Broche de platino	Broche en platine	Fermaglio di platino	Platynowa broszka	Broche de Platina	Платиновая брошь	Platin Broş
Rudra Ring	ルドラリング	루드라 링	楼陀罗戒指	咆哮者戒指	Rudra-Ring	Anillo de Rudra	Anneau Rudra	Anello di Rudra	Pierścień Rudry	Anel de Rudra	Кольцо Рудры	Rudra Yüzüğü
