id	en	ja	zh	ko	de	es	fr	it
ITEM_L0016	Dis-Poison	ディスポイズン	解毒劑	디스포이즌	Anti-Gift	Antiveneno	Anti-poison	Cura-veleno
ITEM_L0017	Dis-Stun	ディスパライズ	解麻劑	디스패라이즈	Anti-Betäubt	Antiaturdimiento	Anti-étourd.	Cura-stordimento
ITEM_L0018	Dis-Charm	ディスチャーム	解魅劑	디스참	Anti-Verwirrung	Antiencanto	Anti-charme	Cura-malia
ITEM_L0019	Dis-Mute	ディスクローズ	解封劑	디스클로즈	Anti-Stumm	Antimudez	Anti-mutisme	Cura-silenzio
ITEM_L0020	Dis-Stone	ディストーン	解岩劑	디스톤	Anti-Stein	Antipetrificación	Anti-pétrification	Cura-pietrificaz.
ITEM_L0021	Maragi Rock	マハラギの石	瑪哈拉基石	마하라기의 돌	Maragi-Stein	Piedra Maragi	Pierre Maragi	Roccia Maragi
ITEM_L0022	Mabufu Rock	マハブフの石	瑪哈布芙石	마하부흐의 돌	Mabufu-Stein	Piedra Mabufu	Pierre Mabufu	Roccia Mabufu
ITEM_L0023	Mazio Rock	マハジオの石	瑪哈吉歐石	마하지오의 돌	Mazio-Stein	Piedra Mazio	Pierre Mazio	Roccia Mazio
ITEM_L0024	Mazan Rock	マハザンの石	瑪哈贊石	마하잔의 돌	Mazan-Stein	Piedra Mazan	Pierre Mazan	Roccia Mazan
ITEM_L0025	Mahama Rock	マハンマの石	瑪翰瑪石	마한마의 돌	Mahama-Stein	Piedra Mahama	Pierre Mahama	Roccia Mahama
ITEM_L0026	Mamudo Rock	マハムドの石	瑪哈姆多石	마하무드의 돌	Mamudo-Stein	Piedra Mamudo	Pierre Mamudo	Roccia Mamudo
ITEM_L0027	Megido Rock	メギドの石	米吉多石	메기도의 돌	Megido-Stein	Piedra Megido	Pierre Megido	Roccia Megido
ITEM_L0028	Megidola Rock	メギドラの石	米吉多拉石	메기도라의 돌	Megidola-Stein	Piedra Megidola	Pierre Megidola	Roccia Megidola
ITEM_L0029	Poison Arrow	毒矢	毒箭	독화살	Giftpfeil	Flecha venenosa	Flèche empoisonnée	Freccia velenosa
ITEM_L0030	Wagtail Plume	セキレイの羽	鶺鴒羽	할미새 깃털	Stelzenfeder	Pluma aguzanieves	Plume d'oiseau	Piuma di cutrettola
ITEM_L0031	Makajam Rock	マカジャマの石	瑪卡加瑪石	마카쟈마의 돌	Makajam-Stein	Piedra Makajam	Pierre Makajam	Roccia Makajam
ITEM_L0032	Pot of Death	瀕死の壷	瀕死之壺	빈사의 항아리	Topf des Todes	Vasija de la muerte	Fiole de mort	Giara della morte
ITEM_L0034	Magic Mirror	魔反鏡	魔反鏡	마반경	Magischer Spiegel	Espejo mágico	Miroir magique	Specchio magico
ITEM_L0035	Attack Mirror	物反鏡	物反鏡	물반경	Angriffsspiegel	Espejo ofensivo	Miroir d'attaque	Specchio offensivo
ITEM_L0036	Dekaja Rock	デカジャの石	迪卡加石	데카쟈의 돌	Dekaja-Stein	Piedra Dekaja	Pierre Dekaja	Roccia Dekaja
ITEM_L0037	Tetraja Rock	テトラジャの石	提特拉加石	테트라쟈의 돌	Tetraja-Stein	Piedra Tetraja	Pierre Tetraja	Roccia Tetraja
ITEM_L0038	Strength Incense	力の香	力之香	힘의 향	Stä-Räucherstäbchen	Incienso de fuerza	Encens de Force	Incenso Forza
ITEM_L0040	Magic Incense	魔力の香	魔力之香	마력의 향	Mag-Räucherstäbchen	Incienso de magia	Encens de Magie	Incenso Magia
ITEM_L0041	Vitality Incense	体力の香	體力之香	체력의 향	Vit-Räucherstäbchen	Incienso de vitalidad	Encens de Vitalité	Incenso Vitalità
ITEM_L0042	Agility Incense	速さの香	速之香	속도의 향	Bew-Räucherstäbchen	Incienso de agilidad	Encens d'Agilité	Incenso Agilità
ITEM_L0043	Luck Incense	運の香	運之香	행운의 향	Glü-Räucherstäbchen	Incienso de suerte	Encens de Chance	Incenso Fortuna
ITEM_L0044	Blessed Fan	破魔の霊扇	破魔靈扇	파마의 영선	Gesegneter Fächer	Abanico bendito	Éventail béni	Ventaglio benedetto
ITEM_L0045	Soul-Return	反魂神珠	返魂神珠	반혼신주	Seelenrückkehr	Retornaalma	Retour des âmes	Dono dell'anima
ITEM_L0046	Spyglass	万里の遠眼鏡	萬里望遠鏡	만리의 망원경	Fernrohr	Espejo espía	Lunette	Cannocchiale
ITEM_L0052	Repulse Bell	封魔の鈴	封魔之鈴	봉마의 방울	Abwehrglocke	Campana repelente	Cloche répulsive	Campana repulsiva
ITEM_L0053	Attract Pipe	集魔の笛	集魔之笛	집마의 피리	Lockflöte	Flauta de atracción	Flûte d'attraction	Flauto del richiamo
ITEM_L0054	Float Ball	浮き足玉	飄浮玉	부유옥	Schwebeball	Bola flotante	Boule de lévit.	Sfera levitante
ITEM_L0055	Light Ball	光玉	光玉	광옥	Lichtball	Bola de luz	Boule de lumière	Sfera di luce
ITEM_L0056	Smoke Ball	くらましの玉	匿蹤玉	눈속임 구슬	Rauchball	Bomba de humo	Boule fumigène	Sfera fumogena
ITEM_L0058	Divining Water	クガタチの湯	盟神探湯之水	심판의 탕	Wahrsagewasser	Agua divina	Eau de divination	Acqua divinatoria
ITEM_L0061	Lucky Ticket	しあわせチケット	福券	행복 티켓	Glücksticket	Vale de la suerte	Billet de loterie	Biglietto fortunato
ITEM_L0064	Marogareh	マロガレ	混沌	마로가레	Marogareh	Marogareh	Marogareh	Marogareh
ITEM_L0065	Wadatsumi	ワダツミ	綿津見	와다츠미	Wadatsumi	Wadatsumi	Wadatsumi	Wadatsumi
ITEM_L0066	Ankh	アンク	生命之符	앙크	Ankh	Anj	Ankh	Ankh
ITEM_L0067	Iyomante	イヨマンテ	熊靈	이요만테	Iyomante	Iyomante	Iyomante	Iyomante
ITEM_L0068	Shiranui	シラヌイ	不知火	시라누이	Shiranui	Shiranui	Shiranui	Shiranui
ITEM_L0069	Hifumi	ヒフミ	一二三	히후미	Hifumi	Hifumi	Hifumi	Hifumi
ITEM_L0070	Kamudo	カムド	神度	카무드	Kamudo	Kamudo	Kamudo	Kamudo
ITEM_L0071	Narukami	ナルカミ	鳴神	나루카미	Narukami	Narukami	Narukami	Narukami
ITEM_L0072	Anathema	アナテマ	聖絕	아나테마	Anathema	Anatema	Anathème	Anatema
ITEM_L0073	Miasma	ミアズマ	瘴氣	미아즈마	Miasma	Miasma	Miasme	Miasma
ITEM_L0074	Nirvana	ニルヴァーナ	涅槃	니르바나	Nirwana	Nirvana	Nirvana	Nirvana
ITEM_L0075	Murakumo	ムラクモ	叢雲	무라쿠모	Murakumo	Murakumo	Murakumo	Murakumo
ITEM_L0076	Geis	ゲッシュ	誓約	겟슈	Geis	Geis	Geis	Geis
ITEM_L0077	Djed	ジェド	傑得	제드	Djed	Djed	Djed	Djed
ITEM_L0078	Muspell	ムスペル	火巨人	무스펠	Muspell	Muspel	Muspell	Muspell
ITEM_L0079	Gehenna	ゲヘナ	煉獄	게헨나	Gehinnom	Gehena	Géhenne	Geenna
ITEM_L0080	Kamurogi	カムロギ	神漏岐	카무로기	Kamurogi	Kamurogi	Kamurogi	Kamurogi
ITEM_L0081	Satan	サタン	撒旦	사탄	Satan	Satán	Satan	Satana
ITEM_L0082	Adama	アダマ	押瑪	아다마	Adama	Adama	Adama	Adma
ITEM_L0083	Vimana	ヴィマーナ	維摩那	비마나	Vimana	Vimana	Vimana	Vimana
ITEM_L0084	Gundari	グンダリ	軍荼利	군다리	Gundari	Gundari	Gundari	Gundari
ITEM_L0085	Sophia	ソフィア	蘇菲亞	소피아	Sophia	Sofía	Sophia	Sapienza
ITEM_L0086	Gaea	ガイア	蓋亞	가이아	Gaea	Gea	Gaïa	Gaia
ITEM_L0087	Kailash	カイラース	垓拉瑟	카일라스	Kailash	Kailash	Kailash	Kailash
ITEM_L0088	Masakados	マサカドゥス	將門	마사카두스	Masakados	Masakados	Masakados	Masakados
ITEM_L0089	Grimoire (Thin)	魔導書・薄	魔導書．薄	얇은 마도서	Grimoire (Dünn)	Grimorio (fino)	Petit grimoire	Grimorio (sottile)
ITEM_L0090	Grimoire (Thick)	魔導書・厚	魔導書．厚	두꺼운 마도서	Grimoire (Dick)	Grimorio (grueso)	Grand grimoire	Grimorio (spesso)
ITEM_L0091	Bronze Bull	青銅の牛像	青銅牛雕像	청동 소 동상	Bronzebulle	Toro de bronce	Taureau en bronze	Bovino bronzeo
ITEM_L0092	Gold Bull	黄金の牛像	黃金牛雕像	황금 소 동상	Goldbulle	Toro dorado	Taureau en or	Bovino aureo
ITEM_L0093	Hypatia Bull	ヒュパテアの牛像	希帕提婭牛雕像	히파티아의 소 동상	Hypatiabulle	Toro de Hipatia	Taureau d'Hypathie	Bovino di Ipazia
ITEM_L0094	????	？？？？	？？？？	????	????	¿?	????	???
ITEM_L0096	Diamond	ダイアモンド	鑽石	다이아몬드	Diamant	Diamante	Diamant	Diamante
ITEM_L0097	Pearl	パール	珍珠	펄	Perle	Perla	Perle	Perla
ITEM_L0098	Sapphire	サファイア	藍寶石	사파이어	Saphir	Zafiro	Saphir	Zaffiro
ITEM_L0099	Emerald	エメラルド	祖母綠	에메랄드	Smaragd	Esmeralda	Émeraude	Smeraldo
ITEM_L0100	Ruby	ルビー	紅寶石	루비	Rubin	Rubí	Rubis	Rubino
ITEM_L0101	Jade	ヒスイ	翡翠	비취	Jade	Jade	Jade	Giada
ITEM_L0102	Opal	オパール	蛋白石	오팔	Opal	Ópalo	Opale	Opale
ITEM_L0103	Amethyst	アメジスト	紫水晶	자수정	Amethyst	Amatista	Améthyste	Ametista
ITEM_L0104	Agate	メノウ	瑪瑙	마노	Achat	Ágata	Agate	Agata
ITEM_L0105	Turquoise	ターコイズ	綠松石	터키석	Türkis	Turquesa	Turquoise	Turchese
ITEM_L0106	Garnet	ガーネット	石榴石	가닛	Granat	Granate	Grenat	Granato
ITEM_L0107	Reserve	リザーブ	ＲＥＳＥＲＶＥ	RESERVE	Reserve	Reserva	Réserve	Riserva
ITEM_L0108	Onyx	オニキス	縞瑪瑙	오닉스	Onyx	Ónice	Onyx	Onice
ITEM_L0109	Reserve	リザーブ	ＲＥＳＥＲＶＥ	RESERVE	Reserve	Reserva	Réserve	Riserva
ITEM_L0110	Coral	コーラル	珊瑚	코랄	Koralle	Coral	Corail	Corallo
ITEM_L0111	Aquamarine	アクアマリン	海藍寶石	아쿠아마린	Aquamarin	Aguamarina	Aigue-marine	Acquamarina
ITEM_L0112	ID Card	職員用ＩＤカード	職員識別證	직원용 ID 카드	Dienstausweis	Tarjeta de identificación	Badge	Tesserino
ITEM_L0113	Annex Gate Pass	分院用ゲートパス	分院門禁卡	별관용 게이트 패스	Anbau-Ausweis	Pase del anexo	Passe de l'annexe	Pass dell'ala secondaria
ITEM_L0114	White Kila	白のキーラ	白色耀光	백색 킬라	Weißer Kila	Kila blanco	Kila blanc	Kila bianco
ITEM_L0115	Yellow Kila	黄のキーラ	黃色耀光	황색 킬라	Gelber Kila	Kila amarillo	Kila jaune	Kila giallo
ITEM_L0116	Green Kila	緑のキーラ	綠色耀光	녹색 킬라	Grüner Kila	Kila verde	Kila vert	Kila verde
ITEM_L0117	Red Kila	赤のキーラ	紅色耀光	적색 킬라	Roter Kila	Kila rojo	Kila rouge	Kila rosso
ITEM_L0118	1000 Yen Bill	千円札	千圓鈔	천 엔 지폐	1.000-Yen-Schein	Billete de 1000 yenes	Billet de 1 000 ¥	Banconota da 1.000 Y
ITEM_L0119	Manikin's Letter	マネカタの手紙	似人的書信	마네카타의 편지	Brief des Manikin	Carta del Maniquí	Lettre du Mannequin	Lettera del simulacro
ITEM_L0120	Umugi Stone	ウムギの玉	蛤貝玉	우무기의 구슬	Umugi-Stein	Piedra Umugi	Pierre Umugi	Pietra Umugi
ITEM_L0121	Spoon	首かりスプーン	獵頭匙	목 따는 스푼	Löffel	Cuchara	Cuillère	Cucchiaio
ITEM_L0122	Yahiro no Himorogi	ヤヒロノヒモロギ	八尋神籬	야히로노히모로기	Yahiro no Himorogi	Yahiro no Himorogi	Yahiro no Himorogi	Yahiro no Himorogi
ITEM_L0123	Kimon Stone	鬼門の玉	鬼門玉	귀문의 구슬	Kimon-Stein	Piedra Kimon	Pierre Kimon	Pietra Kimon
ITEM_L0124	Lord's Sword	公の御剣	君主御劍	마사카도의 검	Schwert des Fürsten	Espada del Señor	Épée du seigneur	Spada dell'Eroe
ITEM_L0125	Yoyogi Park Key	ヨヨギ公園のカギ	代代木公園的鑰匙	요요기 공원 열쇠	Schlüssel (Yoyogi Park)	Llave del parque Yoyogi	Clé du parc	Chiave del parco Yoyogi
ITEM_L0126	Heavenstone	アメノタカラ	天生魂	천상의 보물	Himmelsstein	Gema del cielo	Pierre du paradis	Pietra del Paradiso
ITEM_L0127	Earthstone	ツチノタカラ	地生魂	대지의 보물	Erdstein	Gema de la tierra	Pierre de la terre	Pietra della Terra
ITEM_L0128	Netherstone	ヨミノタカラ	泉生魂	황천의 보물	Unterweltstein	Gema del infierno	Pierre des enfers	Pietra degli Inferi
ITEM_L0129	Majesty	王冠のメノラー	王冠燭台	왕관의 메노라	Anmut	Corona	Majesté	Potenza
ITEM_L0130	Wisdom	知恵のメノラー	智慧燭台	지혜의 메노라	Weisheit	Sabiduría	Sagesse	Saggezza
ITEM_L0131	Insight	理解のメノラー	理解燭台	이해의 메노라	Einsicht	Comprensión	Perspicacité	Intelligenza
ITEM_L0132	Compassion	慈悲のメノラー	慈悲燭台	자비의 메노라	Mitgefühl	Compasión	Compassion	Misericordia
ITEM_L0133	Glory	神威のメノラー	神威燭台	신위의 메노라	Glanz	Gloria	Gloire	Corona
ITEM_L0134	Beauty	美のメノラー	美艷燭台	미의 메노라	Schönheit	Belleza	Beauté	Bellezza
ITEM_L0135	Eternity	永遠のメノラー	永恆燭台	영원의 메노라	Ewigkeit	Eternidad	Éternité	Vittoria
ITEM_L0136	Dignity	威厳のメノラー	威嚴燭台	위엄의 메노라	Würde	Dignidad	Dignité	Splendore
ITEM_L0137	Foundation	基礎のメノラー	根基燭台	기초의 메노라	Fundament	Fundación	Fondation	Fondamento
ITEM_L0138	Sovereignty	王国のメノラー	王國燭台	왕국의 메노라	Souveränität	Reino	Souveraineté	Regno
ITEM_L0139	Knowledge	知識のメノラー	知識燭台	지식의 메노라	Wissen	Conocimiento	Savoir	Conoscenza
ITEM_L0140	Moon Key	月輪のカギ	圓月之鑰	월륜의 열쇠	Mondschlüssel	Llave lunar	Clé de la lune	Chiave della Luna
ITEM_L0141	Deathstone	死兆石	死兆石	사조석	Todesstein	Gema de la muerte	Pierre de mort	Pietra della Morte
ITEM_L0142	Black Visor	黒のバイザー	黑色護目鏡	검은 바이저	Schwarzes Visier	Visor negro	Visière noire	Visore oscuro
ITEM_L0143	Afterlife Bell	後生の土鈴	來世的土鈴	후생의 토령	Jenseitsglocke	Campana del más allá	Cloche de l'au-delà	Campana dell'Aldilà
ITEM_L0144	Star Key	明星のカギ	明星之鑰	명성의 열쇠	Sternenschlüssel	Llave estelar	Clé de l'étoile	Chiave della Stella
